date,time,e440,e470,e532,jsp,replicate,file,second,hms
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-31,14:30:00,812,768,184,535,2,dilution_0.txt,81,0
2020-10-31,14:30:00,810,760,183,535,2,dilution_0.txt,82,0
2020-10-31,14:30:00,796,749,178,535,2,dilution_0.txt,83,0
2020-10-31,14:30:00,799,759,185,535,2,dilution_0.txt,84,0
2020-10-31,14:30:00,814,765,183,535,2,dilution_0.txt,85,0
2020-10-31,14:30:00,822,767,181,535,2,dilution_0.txt,86,0
2020-10-31,14:30:00,808,761,181,535,2,dilution_0.txt,87,0
2020-10-31,14:30:00,822,770,183,535,2,dilution_0.txt,88,0
2020-10-31,14:30:00,800,745,181,535,2,dilution_0.txt,89,0
2020-10-31,14:30:00,793,749,183,535,2,dilution_0.txt,90,0
2020-10-31,14:30:00,810,759,183,535,2,dilution_0.txt,91,0
2020-10-31,14:30:00,801,754,184,535,2,dilution_0.txt,92,0
2020-10-31,14:30:00,809,761,183,535,2,dilution_0.txt,93,0
2020-10-31,14:30:00,815,771,180,535,2,dilution_0.txt,94,0
2020-10-31,14:30:00,799,756,181,534,2,dilution_0.txt,95,0
2020-10-31,14:30:00,799,744,180,534,2,dilution_0.txt,96,0
2020-10-31,14:30:00,809,759,180,535,2,dilution_0.txt,97,0
2020-10-31,14:30:00,800,754,181,534,2,dilution_0.txt,98,0
2020-10-31,14:30:00,792,750,184,534,2,dilution_0.txt,99,0
2020-10-31,14:30:00,802,756,182,534,2,dilution_0.txt,100,0
2020-10-31,14:30:00,805,761,181,534,2,dilution_0.txt,101,0
2020-10-31,14:30:00,801,758,183,534,2,dilution_0.txt,102,0
2020-10-31,14:30:00,801,758,183,534,2,dilution_0.txt,103,0
2020-10-31,14:30:00,801,754,183,534,2,dilution_0.txt,104,0
2020-10-31,14:30:00,808,760,186,534,2,dilution_0.txt,105,0
2020-10-31,14:30:00,802,757,181,534,2,dilution_0.txt,106,0
